digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,anchored_ratio,gt_median,gt_std,gt_spread,AbsRel_ds,delta1_ds,ds_strata,pen,pen_ds
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,200,29277,0.060415,0.025081,0.258230,0.108826,0.026590,0.950341,0.982480,0.994804,1.015577,2.088459,0.972482,2.655145,1.232510,0.732576,0.069510,0.938000,3.900000,1.5037,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,200,46487,0.062070,0.021500,0.219823,0.112948,0.026763,0.944843,0.979145,0.994156,1.003628,2.038503,0.957057,2.305818,1.239051,0.838163,0.064923,0.941179,4.000000,1.5037,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,200,66249,0.075234,0.025103,0.222640,0.141346,0.033215,0.938489,0.970608,0.989091,0.979494,1.956533,0.928626,1.957153,1.170799,0.900137,0.072170,0.941431,4.000000,1.5037,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,200,35412,0.107768,0.038898,0.280053,0.186874,0.048676,0.923094,0.964667,0.982444,0.939806,1.850061,0.886268,1.697120,1.084848,0.946042,0.104370,0.923625,3.990000,1.5037,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,0-10,0.0,10.0,,200,7745,0.064439,0.044214,0.316805,0.123276,0.029031,0.934676,0.969112,0.986452,0.992989,2.258154,0.981098,3.006243,0.719691,0.420979,0.092355,0.897974,2.705000,0.8629,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,10-20,10.0,20.0,,200,25247,0.061366,0.035165,0.299368,0.116428,0.027095,0.942470,0.974591,0.992005,0.994233,2.265072,0.981328,2.871138,1.078878,0.612891,0.071471,0.929517,3.670000,0.8629,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,20-30,20.0,30.0,,200,50035,0.054585,0.023336,0.237880,0.103044,0.023507,0.954033,0.981514,0.995349,0.994903,2.277861,0.973320,2.653490,1.233133,0.733384,0.062146,0.945121,3.975000,0.8629,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,30-40,30.0,40.0,,200,92347,0.061234,0.022384,0.207422,0.111421,0.025182,0.945303,0.974799,0.993876,0.990649,2.276234,0.964059,2.300413,1.238501,0.838882,0.061334,0.944579,4.000000,0.8629,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,40-50,40.0,50.0,,200,83851,0.061394,0.021076,0.187732,0.113457,0.025423,0.947856,0.975444,0.991538,0.991755,2.281303,0.946813,1.987488,1.167471,0.892960,0.056458,0.952244,4.000000,0.8629,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,50-55,50.0,55.0,,200,2874,0.055601,0.018650,0.147028,0.088140,0.024354,0.954766,0.983279,0.991108,0.995775,2.290508,0.936515,1.927020,1.014322,0.638383,0.081949,0.892776,2.930000,0.8629,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,200,4825,0.054580,0.034380,0.295318,0.107009,0.024967,0.955771,0.981950,0.990970,1.009575,2.418797,0.983192,3.003408,0.719292,0.421037,0.096273,0.899752,2.640000,1.8290,
fcc6c600f83b,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,200,15660,0.049914,0.027246,0.285150,0.101105,0.022797,0.962566,0.985617,0.994906,1.010011,2.414790,0.981831,2.869760,1.078276,0.611526,0.058880,0.949298,3.530000,1.8290,
