digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,gt_median,gt_std,gt_spread,pen
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,300,35413,0.121260,0.042873,0.334601,0.252552,0.056172,0.906980,0.962577,0.978771,0.933784,1.961732,1.644957,1.088776,0.984225,1.9730
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,0-10,0.0,10.0,,300,7735,0.044894,0.028299,0.333870,0.119621,0.020949,0.959956,0.981662,0.991275,0.989099,2.551502,2.955343,0.640660,0.287747,1.4476
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,10-20,10.0,20.0,,300,25229,0.045435,0.025163,0.308069,0.113416,0.020582,0.959811,0.984046,0.993463,0.989727,2.554505,2.792782,1.014823,0.597449,1.4476
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,20-30,20.0,30.0,,300,49995,0.044969,0.019302,0.253658,0.105802,0.019593,0.962752,0.985780,0.995094,0.989918,2.555152,2.584543,1.171257,0.710057,1.4476
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,30-40,30.0,40.0,,300,92339,0.052448,0.020871,0.235541,0.119679,0.021730,0.956052,0.980258,0.993205,0.989694,2.556128,2.282323,1.211813,0.814367,1.4476
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,40-50,40.0,50.0,,300,83857,0.056954,0.020291,0.222011,0.127728,0.023510,0.952656,0.979027,0.991554,0.990714,2.559526,1.981325,1.173882,0.896788,1.4476
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,real,rect,theta,50-55,50.0,55.0,,300,2874,0.064987,0.020802,0.211415,0.145889,0.027160,0.944416,0.975479,0.987430,0.992894,2.565769,2.003817,1.050707,0.741876,1.4476
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,300,4819,0.062838,0.034950,0.347014,0.118634,0.028212,0.961620,0.986615,0.994024,1.006166,2.581382,2.955675,0.639956,0.286752,1.9794
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,300,15648,0.062440,0.031494,0.335305,0.135809,0.028615,0.960348,0.985436,0.993583,1.007013,2.560396,2.791850,1.014275,0.597355,1.9794
601fcb22767e,vggt_omega,VGGT-Omega,1B/512,1143.81,scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,300,29253,0.060996,0.026700,0.298345,0.128222,0.027770,0.961463,0.985464,0.993180,1.008825,2.531355,2.586755,1.170633,0.709204,1.9794
