digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,gt_median,gt_std,gt_spread,pen
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,real,fisheye,theta,20-30,20.0,30.0,,300,29929,0.163552,0.097166,0.452399,0.227120,0.062351,0.814364,0.917745,0.974167,1.005735,2.315977,2.586297,1.170639,0.709415,1.4735
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,real,fisheye,theta,30-40,30.0,40.0,,300,47583,0.157121,0.081483,0.418813,0.221559,0.061100,0.808786,0.933990,0.979216,0.990889,2.214792,2.289225,1.211798,0.811745,1.4735
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,real,fisheye,theta,40-50,40.0,50.0,,300,67828,0.174276,0.088735,0.442610,0.269448,0.072368,0.772649,0.919489,0.967009,0.989227,2.090340,1.929725,1.171937,0.905390,1.4735
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,real,fisheye,theta,50-55,50.0,55.0,,300,36246,0.216048,0.116814,0.496283,0.379483,0.097387,0.692966,0.877065,0.941027,0.988021,1.972545,1.644695,1.088812,0.984485,1.4735
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,real,rect,theta,0-10,0.0,10.0,,300,7916,0.129690,0.104653,0.503362,0.203160,0.049242,0.865022,0.937978,0.968298,0.983955,2.405921,2.956417,0.639849,0.286065,1.4040
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,real,rect,theta,10-20,10.0,20.0,,300,25837,0.153190,0.115730,0.471266,0.228153,0.056054,0.842226,0.914685,0.958989,0.978733,2.389522,2.792892,1.014755,0.597736,1.4040
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,real,rect,theta,20-30,20.0,30.0,,300,51155,0.151439,0.094593,0.425025,0.225260,0.056153,0.835884,0.916169,0.971213,0.979983,2.380169,2.584882,1.171168,0.709956,1.4040
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,real,rect,theta,30-40,30.0,40.0,,300,94542,0.143798,0.078502,0.415779,0.226896,0.056442,0.833492,0.932397,0.977101,0.993849,2.353670,2.282202,1.211766,0.814229,1.4040
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,real,rect,theta,40-50,40.0,50.0,,300,85817,0.156785,0.083588,0.456991,0.278816,0.068303,0.788113,0.914432,0.966599,1.023293,2.341750,1.979888,1.173882,0.897575,1.4040
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,real,rect,theta,50-55,50.0,55.0,,300,2940,0.182079,0.097663,0.473073,0.330703,0.085869,0.725695,0.873739,0.936751,1.065601,2.380093,2.012458,1.050907,0.734966,1.4040
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,synthetic,fisheye,theta,0-10,0.0,10.0,,300,4938,0.138816,0.106934,0.506104,0.200967,0.054689,0.851421,0.944982,0.981473,1.018791,2.466678,2.954797,0.640788,0.287607,1.5781
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,synthetic,fisheye,theta,10-20,10.0,20.0,,300,16010,0.153406,0.107742,0.488441,0.218222,0.059344,0.827035,0.929930,0.972434,1.010315,2.423425,2.792758,1.014439,0.597307,1.5781
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,synthetic,fisheye,theta,20-30,20.0,30.0,,300,29929,0.152604,0.092658,0.443613,0.218153,0.058708,0.824715,0.928561,0.977561,1.006082,2.369070,2.586297,1.170639,0.709415,1.5781
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,synthetic,fisheye,theta,30-40,30.0,40.0,,300,47583,0.151188,0.081939,0.419160,0.221219,0.059163,0.822396,0.939306,0.978215,0.996847,2.260213,2.289225,1.211798,0.811745,1.5781
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,synthetic,fisheye,theta,40-50,40.0,50.0,,300,67828,0.173395,0.091148,0.442602,0.268930,0.071614,0.777011,0.919795,0.966127,0.990751,2.119785,1.929725,1.171937,0.905390,1.5781
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,synthetic,fisheye,theta,50-55,50.0,55.0,,300,36246,0.219068,0.122870,0.507161,0.370914,0.096354,0.693958,0.876696,0.942011,0.989565,1.982759,1.644695,1.088812,0.984485,1.5781
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,synthetic,rect,theta,0-10,0.0,10.0,,300,7916,0.130336,0.109960,0.497005,0.203373,0.048701,0.862654,0.938806,0.975630,0.974168,2.482788,2.956417,0.639849,0.286065,1.3513
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,synthetic,rect,theta,10-20,10.0,20.0,,300,25837,0.147841,0.110219,0.462792,0.220730,0.054420,0.838870,0.921689,0.968186,0.975220,2.476339,2.792892,1.014755,0.597736,1.3513
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,synthetic,rect,theta,20-30,20.0,30.0,,300,51155,0.145933,0.090784,0.418964,0.217197,0.054378,0.836319,0.926457,0.977390,0.982347,2.469934,2.584882,1.171168,0.709956,1.3513
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,synthetic,rect,theta,30-40,30.0,40.0,,300,94542,0.138254,0.072488,0.397086,0.220171,0.055090,0.837024,0.940790,0.980060,0.996400,2.440659,2.282202,1.211766,0.814229,1.3513
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,synthetic,rect,theta,40-50,40.0,50.0,,300,85817,0.149280,0.073328,0.404374,0.272576,0.065819,0.800328,0.924869,0.969321,1.021991,2.419320,1.979888,1.173882,0.897575,1.3513
601fcb22767e,da3_small,Depth-Anything-3,Small,34.30,scale_shift,radial,synthetic,rect,theta,50-55,50.0,55.0,,300,2940,0.176130,0.085812,0.407164,0.332845,0.082818,0.747053,0.877579,0.945818,1.057241,2.439802,2.012458,1.050907,0.734966,1.3513
