digest,model,family,size,params_m,align,input_size,dataset,baseline,context,context_stride,AbsRel,delta1,delta2,RMSE,log10,coverage,gt_median,n_frames,n_points_total
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,aea,rect_derect,1.000000,10.000000,0.194097,0.778386,0.905285,0.712437,0.074890,0.987502,1.402200,200.000000,724894.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,aea,rect_derect,3.000000,10.000000,0.197239,0.783719,0.901542,0.710570,0.076021,0.987502,1.402200,200.000000,724894.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,aea,rect_derect,5.000000,10.000000,0.195010,0.787251,0.899896,0.710662,0.075663,0.987502,1.402200,200.000000,724894.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,aea,rect_derect,10.000000,10.000000,0.192210,0.790556,0.899229,0.707874,0.074633,0.987502,1.402200,200.000000,724894.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,nymeria,raw,1.000000,10.000000,0.172215,0.790335,0.930827,0.516848,0.068018,1.000000,1.576302,200.000000,587563.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,nymeria,raw,3.000000,10.000000,0.160631,0.808901,0.940655,0.514972,0.064284,1.000000,1.576302,200.000000,587563.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,nymeria,raw,5.000000,10.000000,0.159611,0.809407,0.939871,0.514653,0.064620,1.000000,1.576302,200.000000,587563.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,nymeria,raw,10.000000,10.000000,0.153696,0.823353,0.943215,0.510332,0.062115,1.000000,1.576302,200.000000,587563.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,nymeria,rect_derect,1.000000,10.000000,0.164122,0.804519,0.933167,0.516575,0.064309,0.989563,1.576302,200.000000,587563.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,nymeria,rect_derect,3.000000,10.000000,0.152943,0.824020,0.938179,0.512292,0.060282,0.989563,1.576302,200.000000,587563.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,nymeria,rect_derect,5.000000,10.000000,0.149848,0.827943,0.942094,0.508471,0.059165,0.989563,1.576302,200.000000,587563.000000
61195914f090,da3_large,Depth-Anything-3,Large,410.941767,scale_shift,518.000000,nymeria,rect_derect,10.000000,10.000000,0.142087,0.845468,0.945548,0.504251,0.056279,0.989563,1.576302,200.000000,587563.000000
