model,dataset,protocol,arm,context,pos_name,pos_lo,pos_hi,depth_lo,depth_hi,n,AbsRel,SqRel,delta1,gt_mean,gt_std,scale_ratio
oracle,nymeria,radial,raw,1,theta,0.0,10.0,0.0,0.75048828125,2237.0,0.17808579815049122,0.028873161962533585,0.7022798390701833,0.5986678456428811,0.12672720586932393,0.9767658001686765
oracle,nymeria,radial,raw,1,theta,0.0,10.0,0.75048828125,1.265625,5063.0,0.11117600223815549,0.01908151556129981,0.8907762196326289,0.9964031330238988,0.13828740176934523,1.3537602523253196
oracle,nymeria,radial,raw,1,theta,0.0,10.0,1.265625,1.77734375,6833.0,0.07467852531039074,0.0133312560865522,0.9806819844870481,1.53483725578077,0.12770354424749408,1.6822722452457526
oracle,nymeria,radial,raw,1,theta,0.0,10.0,1.77734375,2.763671875,11404.0,0.05168665346519417,0.00964819785458238,0.9977200982111539,2.328121831566775,0.2914950713784841,1.9725246463919115
oracle,nymeria,radial,raw,1,theta,0.0,10.0,2.763671875,inf,23098.0,0.033815499320067874,0.006349074348533932,0.9998701186249892,3.684933574470733,1.4303858265992027,2.2416441745846476
oracle,nymeria,radial,raw,1,theta,10.0,20.0,0.0,0.75048828125,7861.0,0.18913148920588876,0.030947524435698006,0.6894797099605648,0.5808443371052506,0.13783652801533552,0.9515863282550382
oracle,nymeria,radial,raw,1,theta,10.0,20.0,0.75048828125,1.265625,15303.0,0.11216164550170288,0.019085954552083586,0.8862968045481279,0.9848520816996668,0.152626302848792,1.3434806508418824
oracle,nymeria,radial,raw,1,theta,10.0,20.0,1.265625,1.77734375,19395.0,0.07740334743310391,0.014255302896541294,0.9735498839907193,1.5259471573698118,0.13092920895936952,1.677202237366222
oracle,nymeria,radial,raw,1,theta,10.0,20.0,1.77734375,2.763671875,22616.0,0.052639514603905764,0.009704986074909692,0.9975238769013088,2.2679398883810133,0.28383380368189115,1.9542033324018273
oracle,nymeria,radial,raw,1,theta,10.0,20.0,2.763671875,inf,42100.0,0.03220412742590791,0.006056194916282791,0.9999762470308788,3.9927971904691213,1.540271201946742,2.2732222161833913
oracle,nymeria,radial,raw,1,theta,20.0,30.0,0.0,0.75048828125,13423.0,0.20099853432286116,0.03372954763244435,0.6614765700663041,0.5667520446481785,0.1450672540372295,0.9322737920887529
oracle,nymeria,radial,raw,1,theta,20.0,30.0,0.75048828125,1.265625,20283.0,0.11554270953471131,0.020314693196413755,0.8763989547897254,0.9806946309332323,0.1464835061227791,1.3395361895399964
oracle,nymeria,radial,raw,1,theta,20.0,30.0,1.265625,1.77734375,21592.0,0.07653474935035517,0.014037828493076731,0.9748517969618378,1.5337969231225685,0.13385366710499694,1.6809339159956413
oracle,nymeria,radial,raw,1,theta,20.0,30.0,1.77734375,2.763671875,22813.0,0.05378500441556926,0.009892788203019184,0.9972822513479157,2.222163538196423,0.28509905951227005,1.9415250326537188
oracle,nymeria,radial,raw,1,theta,20.0,30.0,2.763671875,inf,32133.0,0.03279205815411955,0.0061945196018846245,0.9999066380356643,3.884821544926555,1.2838388958127642,2.261495506436882
oracle,nymeria,radial,raw,1,theta,30.0,40.0,0.0,0.75048828125,25105.0,0.22290029951018386,0.03942239127351423,0.6197570205138418,0.5456667737689206,0.14658137966986087,0.9047627369832123
oracle,nymeria,radial,raw,1,theta,30.0,40.0,0.75048828125,1.265625,23497.0,0.11754775881334105,0.020955659429578097,0.8724943609822531,0.9858540161044494,0.1528674024468168,1.342002491289645
oracle,nymeria,radial,raw,1,theta,30.0,40.0,1.265625,1.77734375,24333.0,0.07734379569952833,0.014213639117804402,0.9741914272798258,1.535949403523507,0.14597960254115125,1.6821743192721554
oracle,nymeria,radial,raw,1,theta,30.0,40.0,1.77734375,2.763671875,31060.0,0.054269369720240615,0.010077174120175206,0.9968448164842241,2.2110257867836447,0.2891202590874025,1.9369081917490631
oracle,nymeria,radial,raw,1,theta,30.0,40.0,2.763671875,inf,15984.0,0.03550252676377609,0.006824877741688756,0.9996871871871872,3.5974969109734736,1.416049726884142,2.2189520973715746
oracle,nymeria,radial,raw,1,theta,40.0,50.0,0.0,0.75048828125,38772.0,0.24508150122468356,0.04288509327814134,0.5782007634375322,0.503027977840605,0.14813091525928118,0.8483429795701898
oracle,nymeria,radial,raw,1,theta,40.0,50.0,0.75048828125,1.265625,30404.0,0.11523443229701087,0.020679629730704162,0.8768254177081963,1.0043059616179204,0.14812063521121605,1.3576088942863653
oracle,nymeria,radial,raw,1,theta,40.0,50.0,1.265625,1.77734375,29260.0,0.07815831272980693,0.014351658659332455,0.9727614490772386,1.51280621876068,0.14639146636697703,1.6705776277910072
oracle,nymeria,radial,raw,1,theta,40.0,50.0,1.77734375,2.763671875,23684.0,0.05611514695226923,0.010475263878431788,0.9955244046613748,2.13324981725532,0.25573419154194194,1.9143799914647757
oracle,nymeria,radial,raw,1,theta,40.0,50.0,2.763671875,inf,4203.0,0.03558979774071403,0.00723675188326554,0.9992862241256245,3.890919153729479,2.3996991447624803,2.2460276153515717
