model,dataset,protocol,arm,context,pos_name,pos_lo,pos_hi,depth_lo,depth_hi,n,AbsRel,SqRel,delta1,gt_mean,gt_std,scale_ratio
vggt_1b,aea,radial,raw,1,theta,50.0,55.0,0.7978515625,1.1259765625,28833.0,0.24488227521150965,0.1168663502224126,0.5726424582943156,0.9744402132268147,0.09468639127402868,1.1521937442485113
vggt_1b,aea,radial,raw,1,theta,50.0,55.0,1.1259765625,1.474609375,20359.0,0.21902317259050325,0.10328640375178864,0.7216955646151579,1.265090502434427,0.09663999968475002,1.1337368607645644
vggt_1b,aea,radial,raw,1,theta,50.0,55.0,1.474609375,2.18359375,11672.0,0.16819152038743623,0.08080659700140895,0.771932830705963,1.744504995261095,0.19582862770727907,1.5699985312285456
vggt_1b,aea,radial,raw,1,theta,50.0,55.0,2.18359375,inf,5155.0,0.2002738995976662,0.4805940302435022,0.6812803103782735,3.093044525945684,3.527674445883254,2.291405198192766
vggt_1b,aea,radial,raw,1,theta,55.0,60.0,0.0,0.7978515625,9889.0,0.35654345370437773,0.16217386093024852,0.5681059763373445,0.5564869107147936,0.1609246068299115,0.955676768870101
vggt_1b,aea,radial,raw,1,theta,55.0,60.0,0.7978515625,1.1259765625,9496.0,0.2881152303215204,0.13791297501931632,0.4479780960404381,0.9689234385695292,0.08939936824921262,1.0339598730002666
vggt_1b,aea,radial,raw,1,theta,55.0,60.0,1.1259765625,1.474609375,4497.0,0.24356062154634026,0.11750555897273292,0.5759395152323772,1.2734472721397598,0.10443754416020237,1.3700329033097205
vggt_1b,aea,radial,raw,1,theta,55.0,60.0,1.474609375,2.18359375,2764.0,0.19142169528845743,0.10433102503865124,0.7062228654124457,1.7473148064399422,0.19349528991425285,1.4395043056099952
vggt_1b,aea,radial,raw,1,theta,55.0,60.0,2.18359375,inf,1145.0,0.2218588334857591,0.45612449987068976,0.622707423580786,2.9863468886462883,2.3462687470757864,2.298887692578298
vggt_1b,nymeria,radial,raw,1,theta,0.0,10.0,0.0,0.75048828125,2231.0,0.3527836963142262,0.6237121877822369,0.8184670551322277,0.5993238694461565,0.12625689811708027,0.6449997898012966
vggt_1b,nymeria,radial,raw,1,theta,0.0,10.0,0.75048828125,1.265625,5063.0,0.14955651908237694,0.09958391682724325,0.8425834485482915,0.9964031330238988,0.13828740176934523,1.0259342692408844
vggt_1b,nymeria,radial,raw,1,theta,0.0,10.0,1.265625,1.77734375,6833.0,0.08406123033257765,0.04431337678791144,0.9656080784428509,1.53483725578077,0.12770354424749408,1.7103881435190265
vggt_1b,nymeria,radial,raw,1,theta,0.0,10.0,1.77734375,2.763671875,11404.0,0.07842857779079584,0.05104432028808334,0.9353735531392494,2.328121831566775,0.2914950713784841,2.227604497284055
